iadr,id_t,id_txi,id_txo_in,id_txo_out,input_val,oadr,output_val,,,,,,,,,,,,,,,,,,,,
12skXeaHKQqdpp1mBVs7XMu1JfUGDUzip4,113001818,449169882,876206085,876895796,0.00030275,1EMJZrMmyC3V6ZdVXJhbL8YrBHim4WUSav,1.34881,,,,,,,,,,,,,,,,,,,,
17gL2zQVVCvZgd2frFvwaVgwsqfAkWRGcr,113001818,449169882,876206085,876895796,0.00030275,1EMJZrMmyC3V6ZdVXJhbL8YrBHim4WUSav,1.34881,,,,,,,,,,,,,,,,,,,,
1JSkg1wMQdhyRz9BT3H6zrk5762y3xDUWW,113001818,449169882,876206085,876895796,0.00030275,1EMJZrMmyC3V6ZdVXJhbL8YrBHim4WUSav,1.34881,,,,,,,,,,,,,,,,,,,,
1DTVHfTniUVA8CpuHd1ZT2JYvBbx8TBDvJ,113001818,449169881,876206083,876895796,0.0002,1EMJZrMmyC3V6ZdVXJhbL8YrBHim4WUSav,1.34881,,,,,,,,,,,,,,,,,,,,
1PCr3KFJYr5uF6g6ofjs6BRHab3ipAoYP9,113001818,449169881,876206083,876895796,0.0002,1EMJZrMmyC3V6ZdVXJhbL8YrBHim4WUSav,1.34881,,,,,,,,,,,,,,,,,,,,
1G8E8vPLLDJFtJNhj8VTcsfhQ9KCr7Vi1a,113001818,449169881,876206083,876895796,0.0002,1EMJZrMmyC3V6ZdVXJhbL8YrBHim4WUSav,1.34881,,,,,,,,,,,,,,,,,,,,
1JvPhgFGUuKjjTFSPxDZMoK7WKM9ANdM6p,113001818,449169880,876367956,876895796,1.34841,1EMJZrMmyC3V6ZdVXJhbL8YrBHim4WUSav,1.34881,,,,,,,,,,,,,,,,,,,,
14RD1eZ6ms5Lv3PJNpGzs1c5b4B4ZkVa68,113001818,449169880,876367956,876895796,1.34841,1EMJZrMmyC3V6ZdVXJhbL8YrBHim4WUSav,1.34881,,,,,,,,,,,,,,,,,,,,
1KNcCn5ZZ6UeKfw4iCQKDcDgUNWViiaHsn,113001818,449169880,876367956,876895796,1.34841,1EMJZrMmyC3V6ZdVXJhbL8YrBHim4WUSav,1.34881,,,,,,,,,,,,,,,,,,,,
19bhYdxwaiZxMYf8epvm9v7gUGfxRPsGgL,113001817,449169879,876345308,876895795,1.16806,12FNes2xBtNGJBAeVKkKeo363XxK3EcG8r,5.39978,,,,,,,,,,,,,,,,,,,,
1M7mzAnMji5ninJbqnvYbR2Qxap5v5mQwV,113001817,449169878,876345670,876895795,1.0366,12FNes2xBtNGJBAeVKkKeo363XxK3EcG8r,5.39978,,,,,,,,,,,,,,,,,,,,
1NoKuxK4vWwbtUhqTTqYr9fRb5fGAAhr8m,113001817,449169877,876345331,876895795,0.89292,12FNes2xBtNGJBAeVKkKeo363XxK3EcG8r,5.39978,,,,,,,,,,,,,,,,,,,,
19EkdS8ath2S3cfa8CySNjDgLrgR5jfmGt,113001817,449169876,876341665,876895795,0.817032,12FNes2xBtNGJBAeVKkKeo363XxK3EcG8r,5.39978,,,,,,,,,,,,,,,,,,,,
1FAeQbJj1Nh7a5qzRi3Bk8X67LQfEZB96D,113001817,449169875,876343261,876895795,0.755287,12FNes2xBtNGJBAeVKkKeo363XxK3EcG8r,5.39978,,,,,,,,,,,,,,,,,,,,
1DcvPwQskEVKaVG9Zka5a8Gonj6AjCa5m3,113001817,449169874,876343202,876895795,0.729979,12FNes2xBtNGJBAeVKkKeo363XxK3EcG8r,5.39978,,,,,,,,,,,,,,,,,,,,
12QBzd6kjsoF8FC4FhLDu9F4U9CeSdXTDX,113001816,449169873,876561851,876895794,0.165453,12FNes2xBtNGJBAeVKkKeo363XxK3EcG8r,0.870154,,,,,,,,,,,,,,,,,,,,
19JF4PV317SCoTaXF1drBZCcz52SKXR2Bk,113001816,449169872,876563961,876895794,0.14179,12FNes2xBtNGJBAeVKkKeo363XxK3EcG8r,0.870154,,,,,,,,,,,,,,,,,,,,
1ACK6h4Um1HXPPTZPXPgL7byv9bTSsjSz6,113001816,449169871,876560402,876895794,0.14168,12FNes2xBtNGJBAeVKkKeo363XxK3EcG8r,0.870154,,,,,,,,,,,,,,,,,,,,
1FoQa5tbdR1ut9kuokJmj9spUNBMauy7ns,113001816,449169870,876560758,876895794,0.140703,12FNes2xBtNGJBAeVKkKeo363XxK3EcG8r,0.870154,,,,,,,,,,,,,,,,,,,,
16zeBeK7zzFEjWwQg1bXwsPo7BKHCSx8ns,113001816,449169869,876560782,876895794,0.140627,12FNes2xBtNGJBAeVKkKeo363XxK3EcG8r,0.870154,,,,,,,,,,,,,,,,,,,,
186cWq44ps65AtzqATQv6HYD5dZhF24u9d,113001816,449169868,876563743,876895794,0.14,12FNes2xBtNGJBAeVKkKeo363XxK3EcG8r,0.870154,,,,,,,,,,,,,,,,,,,,
17Nm5aQxKcLi8pFyHJPmyHvpBkTfusk9g9,113001815,449169867,876204262,876895793,5.76E-05,12AscheHnA6nabKS5QTjo6fXU92ZMopk5Q,0.734742,,,,,,,,,,,,,,,,,,,,
16aDEymTrJnin9Uot1g3fBnccQ8i24cSMm,113001815,449169867,876204262,876895793,5.76E-05,12AscheHnA6nabKS5QTjo6fXU92ZMopk5Q,0.734742,,,,,,,,,,,,,,,,,,,,
1JCt6vLSbqggFkbbv7VwtFxq7QE8nuTwUY,113001815,449169867,876204262,876895793,5.76E-05,12AscheHnA6nabKS5QTjo6fXU92ZMopk5Q,0.734742,,,,,,,,,,,,,,,,,,,,
1AuZvwZytY9SwxtBqWDZbcvyDgMuTDMS1k,113001815,449169866,876204255,876895793,5.98E-05,12AscheHnA6nabKS5QTjo6fXU92ZMopk5Q,0.734742,,,,,,,,,,,,,,,,,,,,
