user,unique_sent_user,unique_sent,max_sent,min_sent,unique_sent_adr,unique_sent_tx,total_sent,unique_rec,unique_rec_tx,unique_rec_user,unique_rec_adr,max_rec,min_rec,total_rec,num_tx,is_miner,category
4788,3.0,3.0,0.0253538,0.00111366,3.0,1.0,0.026467459999999998,2.0,1.0,1.0,2.0,0.0253538,0.0253538,0.0253538,2.0,0,unknown
4789,2.0,2.0,0.0945046,0.00126164,2.0,1.0,0.09576624,4.0,2.0,2.0,4.0,0.0945046,0.00106164,0.09556624,3.0,0,unknown
4790,3.0,3.0,0.0992234,0.00126164,3.0,1.0,0.10048504,2.0,1.0,1.0,2.0,0.0992234,0.0992234,0.0992234,2.0,0,unknown
4791,3.0,3.0,0.0812714,0.00072454,3.0,1.0,0.08199593999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,unknown
4792,2.0,2.0,2.95,0.00146164,2.0,1.0,2.95146164,4.0,2.0,2.0,4.0,2.95,0.00126164,2.9512616400000002,3.0,0,unknown
4793,3.0,3.0,3.02075,0.00146124,3.0,1.0,3.0222112400000003,2.0,1.0,1.0,2.0,3.02075,3.02075,3.02075,2.0,0,unknown
4794,3.0,3.0,0.0479075,0.00246528,3.0,1.0,0.05037278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,unknown
4795,3.0,3.0,0.0383054,0.00073882,3.0,1.0,0.03904422,2.0,1.0,1.0,2.0,0.0383054,0.0383054,0.0383054,2.0,0,unknown
4796,3.0,3.0,0.03537,0.00117433,3.0,1.0,0.03654433,2.0,1.0,1.0,2.0,0.03537,0.03537,0.03537,2.0,0,unknown
4797,2.0,2.0,0.07552,0.00246154,2.0,1.0,0.07798154,4.0,2.0,2.0,4.0,0.07552,0.00226154,0.07778154000000001,3.0,0,unknown
4798,3.0,3.0,0.0820492,0.00126164,3.0,1.0,0.08331084,2.0,1.0,1.0,2.0,0.0820492,0.0820492,0.0820492,2.0,0,unknown
4799,2.0,2.0,0.08,0.00037444,2.0,1.0,0.08037443999999999,4.0,2.0,2.0,4.0,0.08,0.00017444,0.08017444,3.0,0,unknown
4800,3.0,3.0,0.0824529,0.00126151,3.0,1.0,0.08371441,2.0,1.0,1.0,2.0,0.0824529,0.0824529,0.0824529,2.0,0,unknown
4801,2.0,2.0,0.1652,0.00046149,2.0,1.0,0.16566149000000002,2.0,1.0,1.0,2.0,0.1652,0.1652,0.1652,2.0,0,unknown
4802,3.0,3.0,0.168001,0.00114966,3.0,1.0,0.16915066,2.0,1.0,1.0,2.0,0.168001,0.168001,0.168001,2.0,0,unknown
4803,2.0,2.0,0.581447,0.00146162,2.0,1.0,0.58290862,4.0,2.0,2.0,4.0,0.581447,0.00126162,0.58270862,3.0,0,unknown
4804,3.0,3.0,0.811237,0.00126164,3.0,1.0,0.8124986399999998,2.0,1.0,1.0,2.0,0.811237,0.811237,0.811237,2.0,0,unknown
4805,3.0,3.0,0.862723,0.00053841,3.0,1.0,0.86326141,2.0,1.0,1.0,2.0,0.862723,0.862723,0.862723,2.0,0,unknown
4806,3.0,3.0,0.025448,0.00126151,3.0,1.0,0.02670951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,unknown
4807,2.0,2.0,0.194377,0.194377,2.0,1.0,0.194377,1.0,1.0,1.0,1.0,0.194377,0.194377,0.194377,2.0,0,unknown
4808,2.0,2.0,0.227467,0.227467,2.0,1.0,0.227467,2.0,2.0,2.0,2.0,0.227467,0.0423557,0.2698227,3.0,0,unknown
4809,2.0,2.0,0.046935,0.00246154,2.0,1.0,0.04939654,4.0,2.0,2.0,4.0,0.046935,0.00226154,0.04919654,3.0,0,unknown
4810,3.0,3.0,0.0494731,0.00246154,3.0,1.0,0.051934640000000004,2.0,1.0,1.0,2.0,0.0494731,0.0494731,0.0494731,2.0,0,unknown
4811,3.0,3.0,0.111303,0.00203376,3.0,1.0,0.11333676000000001,3.0,1.0,1.0,3.0,0.111303,0.111303,0.11130300000000001,2.0,0,unknown
4812,3.0,3.0,0.0683369,0.00126164,3.0,1.0,0.06959854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,unknown
4813,3.0,3.0,0.0242875,0.0003749,3.0,1.0,0.0246624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,unknown
4814,2.0,2.0,2.15,0.000201,2.0,1.0,6.450603000000002,2.0,1.0,1.0,6.0,0.000201,0.000201,0.000603,2.0,0,unknown
4815,2.0,2.0,8.9994,0.00147369,2.0,1.0,27.197620169999997,6.0,1.0,1.0,15.0,8.44495,8.44495,25.334849999999992,2.0,0,unknown
4816,2.0,2.0,0.0595552,0.0595552,2.0,1.0,0.0595552,2.0,2.0,2.0,2.0,0.0595552,0.0494422,0.1089974,3.0,0,unknown
4817,2.0,2.0,0.18369,0.0082,2.0,1.0,0.19188999999999998,2.0,1.0,1.0,2.0,0.0006714,0.0006714,0.0006714,2.0,0,unknown
4818,2.0,2.0,0.1277,0.1277,2.0,1.0,0.1277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,unknown
4819,2.0,2.0,2.47157,2.47157,2.0,1.0,2.47157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,unknown
4820,2.0,2.0,0.316781,0.316781,2.0,1.0,0.316781,1.0,1.0,1.0,1.0,0.198538,0.198538,0.198538,2.0,0,unknown
4821,2.0,2.0,0.31,0.000878,2.0,1.0,0.310878,3.0,2.0,2.0,3.0,0.31,0.000691,0.310691,3.0,0,unknown
4822,2.0,2.0,0.453063,0.115731,2.0,1.0,0.568794,2.0,1.0,1.0,2.0,0.105265,0.105265,0.105265,2.0,0,unknown
4823,2.0,2.0,0.672562,0.672562,2.0,1.0,0.672562,1.0,1.0,1.0,1.0,0.602433,0.602433,0.602433,2.0,0,unknown
4824,2.0,2.0,0.699743,0.699743,2.0,1.0,0.699743,1.0,1.0,1.0,1.0,0.689614,0.689614,0.689614,2.0,0,unknown
4825,2.0,2.0,0.333274,0.333274,2.0,1.0,0.333274,1.0,1.0,1.0,1.0,6.1e-05,6.1e-05,6.1e-05,2.0,0,unknown
4826,2.0,2.0,0.008308,0.008308,2.0,1.0,0.008308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,unknown
4827,2.0,2.0,0.117321,0.117321,2.0,1.0,0.117321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,unknown
4828,2.0,2.0,0.378251,0.00118012,2.0,1.0,1.322976539999998,9.0,1.0,1.0,24.0,0.0656195,0.0656195,0.19685850000000005,2.0,0,unknown
4829,2.0,2.0,0.452,0.234149,2.0,1.0,2.058447,2.0,1.0,1.0,3.0,0.0005,0.0005,0.0015,2.0,0,unknown
4830,1.0,1.0,5.50081,5.50081,1.0,1.0,5.50081,3.0,1.0,1.0,1.0,5.50081,5.50081,5.50081,2.0,0,unknown
4831,1.0,1.0,0.0633339,0.0633339,1.0,1.0,0.0633339,2.0,2.0,2.0,2.0,0.0633339,0.0632339,0.1265678,3.0,0,unknown
4832,1.0,1.0,0.21303,0.21303,1.0,1.0,0.21303,4.0,2.0,2.0,4.0,0.21303,0.21293,0.42596,3.0,0,unknown
4833,1.0,1.0,0.0012514,0.0012514,1.0,1.0,0.0012514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,unknown
4834,1.0,1.0,0.1675,0.1675,1.0,1.0,0.1675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,unknown
4835,1.0,1.0,0.0099,0.0099,1.0,1.0,0.0099,1.0,1.0,1.0,1.0,0.0098,0.0098,0.0098,2.0,0,unknown
4836,1.0,1.0,0.0268762,0.0268762,1.0,1.0,0.0268762,2.0,2.0,2.0,2.0,0.0268762,0.0267762,0.0536524,3.0,0,unknown
4837,1.0,1.0,0.434451,0.434451,1.0,1.0,0.434451,2.0,2.0,2.0,2.0,0.434451,0.434351,0.868802,3.0,0,unknown
4838,1.0,1.0,0.061505,0.061505,1.0,1.0,0.061505,1.0,1.0,1.0,1.0,0.061405,0.061405,0.061405,2.0,0,unknown
4839,1.0,1.0,0.00958816,0.00958816,1.0,1.0,0.00958816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,unknown
4840,1.0,1.0,0.0191315,0.0191315,1.0,1.0,0.0191315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,unknown
4841,1.0,1.0,0.0749286,0.0749286,1.0,1.0,0.0749286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,unknown
4842,1.0,1.0,1.0853,1.0853,1.0,1.0,1.0853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,unknown
4843,1.0,1.0,0.825472,0.825472,1.0,1.0,0.825472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,unknown
4844,1.0,1.0,0.158112,0.158112,1.0,1.0,0.158112,1.0,1.0,1.0,1.0,0.158012,0.158012,0.158012,2.0,0,unknown
4845,2.0,2.0,0.00214,0.00166518,2.0,1.0,0.00380518,4.0,2.0,2.0,4.0,0.00214,0.00146518,0.0036051799999999995,3.0,0,unknown
4846,2.0,2.0,0.00126124,0.00015722,2.0,1.0,0.00141846,4.0,2.0,2.0,4.0,0.00106124,0.00015722,0.00121846,3.0,0,unknown
4847,2.0,2.0,0.00146488,0.00015752,2.0,1.0,0.0016224,2.0,1.0,1.0,2.0,0.00126488,0.00126488,0.00126488,2.0,0,unknown
4848,2.0,2.0,0.0214,0.0005747,2.0,1.0,0.0219747,4.0,2.0,2.0,4.0,0.0214,0.0003747,0.0217747,3.0,0,unknown
4849,2.0,2.0,0.005,0.00106151,2.0,1.0,0.006061510000000001,2.0,1.0,1.0,2.0,0.00086151,0.00086151,0.00086151,2.0,0,unknown
4850,2.0,2.0,0.220692,0.10976,2.0,1.0,0.33045199999999997,1.0,1.0,1.0,1.0,0.10976,0.10976,0.10976,2.0,0,unknown
4851,2.0,2.0,1.0,0.0102775,2.0,1.0,1.0102775,2.0,1.0,1.0,2.0,0.0100775,0.0100775,0.0100775,2.0,0,unknown
4852,2.0,2.0,12.15,0.0104,2.0,1.0,12.160400000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,unknown
