Col
BTCCPool
SlushPool.com
SlushPool.com-old
SlushPool.com-old2
GHash.io
AntPool.com
AntPool.com-old
AntPool.com-old2
BitMinter.com
EclipseMC.com
EclipseMC.com-old
EclipseMC.com-old2
EclipseMC.com-old3
KnCMiner.com
Bitfury.org
BW.com
Eligius.st
Kano.is
Kano.is-old
Telco214
